date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:16:59	193294/193294	---M-Z	200	added ('OK')	text/html	etag:%222f30e-5ffa629218f54-gzip%22	https://themesbrand.com/chatvia/layouts/index-dark.html	C:/My%20Web%20Sites/ChatverChatTemplate/themesbrand.com/chatvia/layouts/index-dark.html	(from )
11:17:00	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5afe3c4199080%22	https://themesbrand.com/robots.txt		(from )
11:17:01	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5c292b24854c0-gzip%22	https://themesbrand.com/chatvia/layouts/assets/libs/magnific-popup/magnific-popup.css	C:/My%20Web%20Sites/ChatverChatTemplate/themesbrand.com/chatvia/layouts/assets/libs/magnific-popup/magnific-popup.css	(from https://themesbrand.com/chatvia/layouts/index-dark.html)
11:17:01	106452/106452	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2219fd4-5c292b2470c99%22	https://themesbrand.com/chatvia/layouts/assets/images/favicon.ico	C:/My%20Web%20Sites/ChatverChatTemplate/themesbrand.com/chatvia/layouts/assets/images/favicon.ico	(from https://themesbrand.com/chatvia/layouts/index-dark.html)
11:17:02	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-5c292b24854c0-gzip%22	https://themesbrand.com/chatvia/layouts/assets/libs/owl.carousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/ChatverChatTemplate/themesbrand.com/chatvia/layouts/assets/libs/owl.carousel/assets/owl.carousel.min.css	(from https://themesbrand.com/chatvia/layouts/index-dark.html)
11:17:02	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-5c292b24854c0-gzip%22	https://themesbrand.com/chatvia/layouts/assets/libs/owl.carousel/assets/owl.theme.default.min.css	C:/My%20Web%20Sites/ChatverChatTemplate/themesbrand.com/chatvia/layouts/assets/libs/owl.carousel/assets/owl.theme.default.min.css	(from https://themesbrand.com/chatvia/layouts/index-dark.html)
11:17:03	275256/275256	---M-Z	200	added ('OK')	text/css	etag:%2243338-5ffa6292121f4-gzip%22	https://themesbrand.com/chatvia/layouts/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/ChatverChatTemplate/themesbrand.com/chatvia/layouts/assets/css/bootstrap.min.css	(from https://themesbrand.com/chatvia/layouts/index-dark.html)
11:17:03	317954/317954	---M-Z	200	added ('OK')	text/css	etag:%224da02-5d899514d3cc3-gzip%22	https://themesbrand.com/chatvia/layouts/assets/css/icons.min.css	C:/My%20Web%20Sites/ChatverChatTemplate/themesbrand.com/chatvia/layouts/assets/css/icons.min.css	(from https://themesbrand.com/chatvia/layouts/index-dark.html)
11:17:03	24413/24413	---M-Z	200	added ('OK')	text/css	etag:%225f5d-5ffa629211254-gzip%22	https://themesbrand.com/chatvia/layouts/assets/css/app.min.css	C:/My%20Web%20Sites/ChatverChatTemplate/themesbrand.com/chatvia/layouts/assets/css/app.min.css	(from https://themesbrand.com/chatvia/layouts/index-dark.html)
11:17:04	193273/193273	---M-Z	200	added ('OK')	text/html	etag:%222f2f9-5ffa629219ef4-gzip%22	https://themesbrand.com/chatvia/layouts/index.html	C:/My%20Web%20Sites/ChatverChatTemplate/themesbrand.com/chatvia/layouts/index.html	(from https://themesbrand.com/chatvia/layouts/index-dark.html)
11:17:04	312/312	---M--	200	added ('OK')	image/svg+xml	etag:%22138-5c292b2470c99%22	https://themesbrand.com/chatvia/layouts/assets/images/logo.svg	C:/My%20Web%20Sites/ChatverChatTemplate/themesbrand.com/chatvia/layouts/assets/images/logo.svg	(from https://themesbrand.com/chatvia/layouts/index-dark.html)
11:17:04	15503/15503	---M--	200	added ('OK')	image/jpeg	etag:%223c8f-5c292b24779fb%22	https://themesbrand.com/chatvia/layouts/assets/images/users/avatar-1.jpg	C:/My%20Web%20Sites/ChatverChatTemplate/themesbrand.com/chatvia/layouts/assets/images/users/avatar-1.jpg	(from https://themesbrand.com/chatvia/layouts/index-dark.html)
11:17:05	5459/5459	---M-Z	200	added ('OK')	text/html	etag:%221553-5ffa629218f54-gzip%22	https://themesbrand.com/chatvia/layouts/auth-login.html	C:/My%20Web%20Sites/ChatverChatTemplate/themesbrand.com/chatvia/layouts/auth-login.html	(from https://themesbrand.com/chatvia/layouts/index-dark.html)
